SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
AW3951,ZAG - CDG,2024-05-15 06:30:00,2024-05-15 08:45:00,2024-05-16,1,OPEN,2,189,189,M,119.0,185,11864.21,6153.26,0.98,185,DEACTIVATED
AW3423,TLL - CDG,2024-05-15 06:45:00,2024-05-15 09:35:00,2024-05-16,1,OPEN,2,189,193,I,293.0,188,29123.0,24799.0,0.97,188,DEACTIVATED
AW3550,CDG - HEL,2024-05-15 08:25:00,2024-05-15 12:50:00,2024-05-16,1,CANCELLED,2,189,189,R,110.0,0,0.0,0.0,0.0,0,UNAVAILABLE
AW3910,CDG - ZAG,2024-05-15 09:30:00,2024-05-15 11:30:00,2024-05-16,1,OPEN,2,189,189,L,70.0,179,18762.0,13050.22,0.95,179,DEACTIVATED
AW4632,CDG - VIE,2024-05-15 10:20:00,2024-05-15 12:25:00,2024-05-16,1,OPEN,2,189,191,R,69.0,180,10429.0,4629.18,0.94,180,PARTIALLY_ACTIVATED
AW3288,CDG - TLL,2024-05-15 10:55:00,2024-05-15 15:40:00,2024-05-16,1,OPEN,2,189,189,L,151.0,183,23218.26,12646.83,0.97,183,DEACTIVATED
AW7644,CDG - OSL,2024-05-15 11:50:00,2024-05-15 13:30:00,2024-05-16,1,OPEN,2,189,189,Q,135.0,179,14698.58,8940.07,0.95,179,DEACTIVATED
AW3911,ZAG - CDG,2024-05-15 12:20:00,2024-05-15 14:35:00,2024-05-16,1,OPEN,2,189,192,F,151.0,189,14673.83,8839.4,0.98,189,DEACTIVATED
AW4633,VIE - CDG,2024-05-15 13:15:00,2024-05-15 15:20:00,2024-05-16,1,OPEN,2,189,194,J,318.0,191,17534.26,13972.64,0.98,191,PARTIALLY_ACTIVATED
AW3551,HEL - CDG,2024-05-15 13:35:00,2024-05-15 16:20:00,2024-05-16,1,CANCELLED,2,189,189,X,119.0,0,0.0,0.0,0.0,0,UNAVAILABLE
AW7645,OSL - CDG,2024-05-15 14:10:00,2024-05-15 17:40:00,2024-05-17,1,OPEN,2,189,189,K,109.0,189,21154.48,17242.08,1.0,189,DEACTIVATED
AW3558,CDG - HEL,2024-05-15 14:15:00,2024-05-15 18:40:00,2024-05-16,1,OPEN,2,189,189,L,137.0,181,22491.0,16676.61,0.96,181,PARTIALLY_ACTIVATED
AW4636,CDG - VIE,2024-05-15 14:45:00,2024-05-15 16:50:00,2024-05-16,1,OPEN,2,189,191,X,80.0,183,11435.0,5561.23,0.96,183,PARTIALLY_ACTIVATED
AW3289,TLL - CDG,2024-05-15 16:40:00,2024-05-15 19:30:00,2024-05-16,1,OPEN,2,189,189,F,325.0,188,32473.0,28149.0,0.99,188,DEACTIVATED
AW7646,CDG - OSL,2024-05-15 16:45:00,2024-05-15 18:25:00,2024-05-16,1,OPEN,2,189,192,K,104.0,168,12288.78,6874.48,0.88,168,DEACTIVATED
AW7908,CDG - BER,2024-05-15 17:20:00,2024-05-15 18:20:00,2024-05-16,1,OPEN,2,189,189,R,66.0,139,8243.86,3622.2,0.74,139,DEACTIVATED
AW4637,VIE - CDG,2024-05-15 17:35:00,2024-05-15 19:40:00,2024-05-16,1,OPEN,2,189,189,I,197.0,193,16008.0,12394.11,1.02,193,PARTIALLY_ACTIVATED
AW7909,BER - CDG,2024-05-15 19:00:00,2024-05-15 21:55:00,2024-05-17,1,OPEN,2,189,190,X,76.0,136,11337.0,9481.96,0.72,136,DEACTIVATED
AW7647,OSL - CDG,2024-05-15 19:10:00,2024-05-15 22:40:00,2024-05-17,1,OPEN,2,189,192,J,323.0,191,21265.32,17316.69,0.99,191,DEACTIVATED
AW3422,CDG - TLL,2024-05-15 19:15:00,2024-05-16 00:05:00,2024-05-16,1,OPEN,2,189,192,L,151.0,174,19115.6,8950.28,0.91,174,DEACTIVATED
AW3559,HEL - CDG,2024-05-15 19:25:00,2024-05-15 22:10:00,2024-05-16,1,OPEN,2,189,185,Q,185.0,179,30104.0,26329.95,0.97,179,PARTIALLY_ACTIVATED
AW7664,CDG - OSL,2024-05-15 20:55:00,2024-05-15 22:35:00,2024-05-16,1,OPEN,2,189,189,L,91.0,173,10544.39,4948.36,0.92,173,DEACTIVATED
AW3950,CDG - ZAG,2024-05-15 21:15:00,2024-05-15 23:15:00,2024-05-16,1,OPEN,2,189,190,L,70.0,185,10689.86,4746.27,0.97,185,DEACTIVATED
AW4780,CDG - VIE,2024-05-15 21:25:00,2024-05-15 23:30:00,2024-05-16,1,OPEN,2,189,189,V,118.0,187,12635.0,6643.21,0.99,187,PARTIALLY_ACTIVATED
AW7668,CDG - OSL,2024-05-15 21:25:00,2024-05-15 23:05:00,2024-05-16,1,OPEN,2,189,192,X,80.0,167,9368.39,3960.46,0.87,167,DEACTIVATED
AW7665,OSL - CDG,2024-05-16 06:00:00,2024-05-16 09:30:00,2024-05-18,1,OPEN,2,189,193,R,67.0,193,16459.0,12471.62,1.0,193,DEACTIVATED
AW4781,VIE - CDG,2024-05-16 06:00:00,2024-05-16 08:05:00,2024-05-17,1,OPEN,2,189,189,M,177.0,188,12255.58,8740.34,0.99,188,PARTIALLY_ACTIVATED
AW7669,OSL - CDG,2024-05-16 06:30:00,2024-05-16 10:00:00,2024-05-18,1,OPEN,2,189,193,D,272.0,191,18444.66,14494.88,0.99,191,DEACTIVATED
AW3951,ZAG - CDG,2024-05-16 06:30:00,2024-05-16 08:45:00,2024-05-17,1,OPEN,2,189,190,N,39.0,190,11424.0,5558.7,1.0,190,DEACTIVATED
AW3423,TLL - CDG,2024-05-16 06:45:00,2024-05-16 09:35:00,2024-05-17,1,OPEN,2,189,194,N,77.0,194,26722.0,22260.0,1.0,194,DEACTIVATED
AW3550,CDG - HEL,2024-05-16 08:05:00,2024-05-16 12:30:00,2024-05-17,1,OPEN,2,189,189,V,167.0,184,25654.36,19745.82,0.97,184,PARTIALLY_ACTIVATED
AW4632,CDG - VIE,2024-05-16 09:45:00,2024-05-16 11:50:00,2024-05-17,1,OPEN,2,189,181,L,91.0,173,12549.43,6983.28,0.96,173,PARTIALLY_ACTIVATED
AW4670,CDG - BUD,2024-05-16 10:05:00,2024-05-16 13:10:00,2024-05-17,1,OPEN,2,189,189,X,77.0,157,12621.97,7615.18,0.83,157,DEACTIVATED
AW3288,CDG - TLL,2024-05-16 11:25:00,2024-05-16 16:10:00,2024-05-17,1,OPEN,2,189,168,X,136.0,155,20056.07,11075.36,0.92,155,DEACTIVATED
AW7644,CDG - OSL,2024-05-16 11:50:00,2024-05-16 13:30:00,2024-05-17,1,OPEN,2,189,192,H,151.0,169,18446.14,13088.25,0.88,169,DEACTIVATED
AW4633,VIE - CDG,2024-05-16 12:40:00,2024-05-16 14:45:00,2024-05-17,1,OPEN,2,189,189,Q,141.0,187,14064.0,10563.54,0.99,187,PARTIALLY_ACTIVATED
AW3551,HEL - CDG,2024-05-16 13:15:00,2024-05-16 16:00:00,2024-05-17,1,OPEN,2,189,189,M,223.0,173,25222.0,21514.65,0.92,173,PARTIALLY_ACTIVATED
AW4671,BUD - CDG,2024-05-16 13:55:00,2024-05-16 18:45:00,2024-05-18,1,OPEN,2,189,189,Q,149.0,177,16997.0,15293.06,0.94,177,DEACTIVATED
AW7645,OSL - CDG,2024-05-16 14:15:00,2024-05-16 17:45:00,2024-05-18,1,OPEN,2,189,193,X,81.0,193,24783.0,20789.9,1.0,193,DEACTIVATED
AW3556,CDG - HEL,2024-05-16 14:55:00,2024-05-16 19:20:00,2024-05-17,1,OPEN,2,189,189,H,203.0,155,19702.66,14718.61,0.82,155,PARTIALLY_ACTIVATED
AW3916,CDG - ZAG,2024-05-16 15:25:00,2024-05-16 17:25:00,2024-05-17,1,OPEN,2,189,189,M,128.0,166,14406.84,9090.88,0.88,166,DEACTIVATED
AW7646,CDG - OSL,2024-05-16 16:45:00,2024-05-16 18:25:00,2024-05-17,1,OPEN,2,189,192,M,169.0,191,17840.22,11682.19,0.99,191,DEACTIVATED
AW3289,TLL - CDG,2024-05-16 17:10:00,2024-05-16 20:00:00,2024-05-17,1,OPEN,2,189,194,Q,214.0,187,30110.0,25809.0,0.96,187,DEACTIVATED
AW4638,CDG - VIE,2024-05-16 17:50:00,2024-05-16 19:55:00,2024-05-17,1,OPEN,2,189,0,K,104.0,187,15678.74,9657.05,,187,PARTIALLY_ACTIVATED
AW7908,CDG - BER,2024-05-16 18:15:00,2024-05-16 19:15:00,2024-05-17,1,OPEN,2,189,183,L,89.0,146,10406.82,5536.06,0.8,146,DEACTIVATED
AW3917,ZAG - CDG,2024-05-16 18:15:00,2024-05-16 20:30:00,2024-05-17,1,OPEN,2,189,190,D,191.0,189,16366.46,10532.03,0.99,189,DEACTIVATED
AW7647,OSL - CDG,2024-05-16 19:05:00,2024-05-16 22:35:00,2024-05-18,1,OPEN,2,189,193,L,94.0,193,19820.73,15812.48,1.0,193,DEACTIVATED
AW3422,CDG - TLL,2024-05-16 19:15:00,2024-05-17 00:05:00,2024-05-17,1,OPEN,2,189,189,A,79.0,191,24037.86,12925.13,1.01,191,DEACTIVATED
AW7909,BER - CDG,2024-05-16 19:55:00,2024-05-16 22:50:00,2024-05-18,1,OPEN,2,189,191,L,87.0,158,10862.0,8712.08,0.83,158,DEACTIVATED
AW3557,HEL - CDG,2024-05-16 20:05:00,2024-05-16 22:50:00,2024-05-17,1,OPEN,2,189,189,I,244.0,178,22414.8,18617.7,0.94,178,PARTIALLY_ACTIVATED
AW4639,VIE - CDG,2024-05-16 20:40:00,2024-05-16 22:45:00,2024-05-17,1,OPEN,2,189,0,M,177.0,189,14335.67,10817.99,,189,PARTIALLY_ACTIVATED
AW7664,CDG - OSL,2024-05-16 20:55:00,2024-05-16 22:35:00,2024-05-17,1,OPEN,2,189,192,G,50.0,192,18408.95,12204.45,1.0,192,DEACTIVATED
AW3950,CDG - ZAG,2024-05-16 21:15:00,2024-05-16 23:15:00,2024-05-17,1,OPEN,2,189,189,M,128.0,183,15809.0,9938.85,0.97,183,DEACTIVATED
AW4780,CDG - VIE,2024-05-16 21:20:00,2024-05-16 23:25:00,2024-05-17,1,OPEN,2,189,191,Z,326.0,187,19471.17,13466.92,0.98,187,PARTIALLY_ACTIVATED
AW7668,CDG - OSL,2024-05-16 21:25:00,2024-05-16 23:05:00,2024-05-17,1,OPEN,2,189,191,R,69.0,191,20231.56,14056.13,1.0,191,DEACTIVATED
AW7665,OSL - CDG,2024-05-17 06:00:00,2024-05-17 09:30:00,2024-05-19,1,OPEN,2,189,189,I,203.0,184,16521.08,12719.64,0.97,184,DEACTIVATED
AW3951,ZAG - CDG,2024-05-17 06:30:00,2024-05-17 08:45:00,2024-05-18,1,OPEN,2,189,186,G,42.0,186,12166.0,6424.18,1.0,186,DEACTIVATED
AW7669,OSL - CDG,2024-05-17 06:30:00,2024-05-17 10:00:00,2024-05-19,1,OPEN,2,189,192,F,226.0,188,15832.0,11948.02,0.98,188,DEACTIVATED
AW3423,TLL - CDG,2024-05-17 06:45:00,2024-05-17 09:35:00,2024-05-18,1,OPEN,2,189,189,Q,214.0,180,23696.0,19556.0,0.95,180,DEACTIVATED
AW4781,VIE - CDG,2024-05-17 06:55:00,2024-05-17 09:00:00,2024-05-18,1,OPEN,2,189,193,H,158.0,193,14200.0,10578.3,1.0,193,PARTIALLY_ACTIVATED
AW3550,CDG - HEL,2024-05-17 07:25:00,2024-05-17 11:50:00,2024-05-18,1,OPEN,2,189,189,D,314.0,182,36791.78,30920.94,0.96,182,PARTIALLY_ACTIVATED
AW3280,CDG - TLL,2024-05-17 09:00:00,2024-05-17 13:45:00,2024-05-18,1,OPEN,2,189,189,A,79.0,190,30046.77,19208.32,1.01,190,DEACTIVATED
AW4632,CDG - VIE,2024-05-17 10:10:00,2024-05-17 12:15:00,2024-05-18,1,OPEN,2,189,190,J,298.0,185,23501.56,17551.49,0.97,185,PARTIALLY_ACTIVATED
AW7644,CDG - OSL,2024-05-17 11:10:00,2024-05-17 12:50:00,2024-05-18,1,OPEN,2,189,191,L,91.0,192,31279.46,25195.29,1.01,192,DEACTIVATED
AW3551,HEL - CDG,2024-05-17 12:35:00,2024-05-17 15:20:00,2024-05-18,1,OPEN,2,189,189,Q,185.0,173,26147.0,22464.65,0.92,173,PARTIALLY_ACTIVATED
AW4633,VIE - CDG,2024-05-17 13:05:00,2024-05-17 15:10:00,2024-05-18,1,OPEN,2,189,193,M,177.0,193,19281.87,15669.09,1.0,193,PARTIALLY_ACTIVATED
AW7645,OSL - CDG,2024-05-17 13:35:00,2024-05-17 17:05:00,2024-05-19,1,OPEN,2,189,192,B,248.0,188,20194.98,16276.88,0.98,188,DEACTIVATED
AW3281,TLL - CDG,2024-05-17 14:45:00,2024-05-17 17:35:00,2024-05-18,1,OPEN,2,189,189,H,238.0,184,28452.0,24243.0,0.97,184,DEACTIVATED
AW3558,CDG - HEL,2024-05-17 14:50:00,2024-05-17 19:15:00,2024-05-18,1,OPEN,2,189,190,B,289.0,189,31961.0,25881.17,0.99,189,PARTIALLY_ACTIVATED
AW3916,CDG - ZAG,2024-05-17 14:55:00,2024-05-17 16:55:00,2024-05-18,1,OPEN,2,189,166,B,185.0,157,21910.78,16858.77,0.95,157,DEACTIVATED
AW7648,CDG - OSL,2024-05-17 16:25:00,2024-05-17 18:05:00,2024-05-18,1,OPEN,2,189,192,D,253.0,190,29872.39,23785.14,0.99,190,DEACTIVATED
AW7924,CDG - CPH,2024-05-17 16:45:00,2024-05-17 17:45:00,2024-05-18,1,OPEN,2,189,192,L,84.0,154,19460.08,14425.36,0.8,154,DEACTIVATED
AW3917,ZAG - CDG,2024-05-17 17:45:00,2024-05-17 20:00:00,2024-05-18,1,OPEN,2,189,189,R,53.0,189,20228.33,14393.9,1.0,189,DEACTIVATED
AW4638,CDG - VIE,2024-05-17 17:55:00,2024-05-17 20:00:00,2024-05-18,1,OPEN,2,180,181,D,249.0,179,22130.0,16377.31,0.99,179,PARTIALLY_ACTIVATED
AW7908,CDG - BER,2024-05-17 18:15:00,2024-05-17 19:15:00,2024-05-18,1,OPEN,2,189,192,V,118.0,166,17391.92,11867.56,0.86,166,DEACTIVATED
AW7925,CPH - CDG,2024-05-17 18:30:00,2024-05-17 21:30:00,2024-05-19,1,OPEN,2,189,189,X,84.0,145,13722.74,7639.57,0.77,145,DEACTIVATED
AW7649,OSL - CDG,2024-05-17 18:45:00,2024-05-17 22:15:00,2024-05-19,1,OPEN,2,189,189,D,272.0,187,18125.3,14260.0,0.99,187,DEACTIVATED
AW3422,CDG - TLL,2024-05-17 19:15:00,2024-05-18 00:05:00,2024-05-18,1,OPEN,2,189,189,A,79.0,189,28520.92,17606.5,1.0,189,DEACTIVATED
AW7909,BER - CDG,2024-05-17 19:55:00,2024-05-17 22:50:00,2024-05-19,1,OPEN,2,189,193,X,76.0,171,12274.0,9945.46,0.89,171,DEACTIVATED
AW3559,HEL - CDG,2024-05-17 20:00:00,2024-05-17 22:45:00,2024-05-18,1,OPEN,2,189,190,Q,185.0,153,21412.0,18158.65,0.81,153,PARTIALLY_ACTIVATED
AW4639,VIE - CDG,2024-05-17 20:45:00,2024-05-17 22:50:00,2024-05-18,1,OPEN,2,180,184,H,158.0,186,14287.0,10805.17,1.01,186,PARTIALLY_ACTIVATED
AW7664,CDG - OSL,2024-05-17 20:55:00,2024-05-17 22:35:00,2024-05-18,1,OPEN,2,189,191,S,275.0,187,31029.65,25008.5,0.98,187,DEACTIVATED
AW3950,CDG - ZAG,2024-05-17 21:15:00,2024-05-17 23:15:00,2024-05-18,1,OPEN,2,189,190,S,237.0,184,25782.78,19866.86,0.97,184,DEACTIVATED
AW4780,CDG - VIE,2024-05-17 21:15:00,2024-05-17 23:20:00,2024-05-18,1,OPEN,2,189,190,B,227.0,190,24568.39,18456.16,1.0,190,PARTIALLY_ACTIVATED
AW7668,CDG - OSL,2024-05-17 21:35:00,2024-05-17 23:15:00,2024-05-18,1,OPEN,2,189,189,B,230.0,160,21947.68,16810.28,0.85,160,DEACTIVATED
AW7665,OSL - CDG,2024-05-18 05:55:00,2024-05-18 09:25:00,2024-05-20,1,OPEN,2,189,189,F,226.0,188,15020.0,11132.08,0.99,188,DEACTIVATED
AW4781,VIE - CDG,2024-05-18 06:00:00,2024-05-18 08:05:00,2024-05-19,1,OPEN,2,189,191,M,177.0,189,14046.0,10505.09,0.99,189,PARTIALLY_ACTIVATED
AW4630,CDG - VIE,2024-05-18 06:10:00,2024-05-18 08:15:00,2024-05-19,1,CANCELLED,2,189,189,H,150.0,86,8815.78,6051.56,0.46,86,UNAVAILABLE
AW4670,CDG - BUD,2024-05-18 06:15:00,2024-05-18 09:20:00,2024-05-19,1,OPEN,2,189,137,Q,136.0,118,14773.0,11003.26,0.86,118,DEACTIVATED
AW7669,OSL - CDG,2024-05-18 06:25:00,2024-05-18 09:55:00,2024-05-20,1,OPEN,2,189,189,B,248.0,185,15127.0,11304.9,0.98,185,DEACTIVATED
AW3951,ZAG - CDG,2024-05-18 06:30:00,2024-05-18 08:45:00,2024-05-19,1,OPEN,2,189,189,H,105.0,184,10970.0,5289.92,0.97,184,DEACTIVATED
AW3423,TLL - CDG,2024-05-18 06:45:00,2024-05-18 09:35:00,2024-05-19,1,OPEN,2,189,186,V,190.0,175,23978.0,19953.0,0.94,175,DEACTIVATED
AW3550,CDG - HEL,2024-05-18 08:30:00,2024-05-18 12:55:00,2024-05-19,1,OPEN,2,189,190,B,289.0,187,40533.0,34537.19,0.98,187,PARTIALLY_ACTIVATED
AW4631,VIE - CDG,2024-05-18 09:00:00,2024-05-18 11:05:00,2024-05-19,1,CANCELLED,2,189,191,V,124.0,3,191.0,134.62,0.02,3,UNAVAILABLE
AW4671,BUD - CDG,2024-05-18 10:05:00,2024-05-18 14:55:00,2024-05-20,1,OPEN,2,189,133,V,130.0,121,16479.92,15315.1,0.91,121,DEACTIVATED
AW7644,CDG - OSL,2024-05-18 10:20:00,2024-05-18 12:00:00,2024-05-19,1,OPEN,2,189,186,S,275.0,185,29359.0,23404.23,0.99,185,DEACTIVATED
AW7645,OSL - CDG,2024-05-18 12:40:00,2024-05-18 16:10:00,2024-05-20,1,OPEN,2,189,173,B,248.0,170,17735.14,14211.49,0.98,170,DEACTIVATED
AW4634,CDG - VIE,2024-05-18 13:35:00,2024-05-18 15:40:00,2024-05-19,1,OPEN,2,189,191,H,150.0,190,21699.48,15567.4,0.99,190,PARTIALLY_ACTIVATED
AW3551,HEL - CDG,2024-05-18 13:40:00,2024-05-18 16:25:00,2024-05-19,1,OPEN,2,189,189,L,136.0,174,30122.9,26476.1,0.92,174,PARTIALLY_ACTIVATED
AW3288,CDG - TLL,2024-05-18 14:10:00,2024-05-18 18:55:00,2024-05-19,1,OPEN,2,189,189,H,232.0,185,28342.72,17580.11,0.98,185,DEACTIVATED
AW3912,CDG - ZAG,2024-05-18 14:40:00,2024-05-18 16:40:00,2024-05-19,1,OPEN,2,189,191,D,210.0,190,22855.78,16730.26,0.99,190,DEACTIVATED
AW7658,CDG - OSL,2024-05-18 15:20:00,2024-05-18 17:00:00,2024-05-19,1,OPEN,2,189,192,B,230.0,190,23809.39,17688.81,0.99,190,DEACTIVATED
AW4635,VIE - CDG,2024-05-18 16:40:00,2024-05-18 18:45:00,2024-05-19,1,OPEN,2,189,190,L,95.0,190,16742.92,13190.68,1.0,190,PARTIALLY_ACTIVATED
AW3913,ZAG - CDG,2024-05-18 17:30:00,2024-05-18 19:45:00,2024-05-19,1,OPEN,2,189,189,Q,93.0,162,12980.74,7979.8,0.86,162,DEACTIVATED
AW7659,OSL - CDG,2024-05-18 17:40:00,2024-05-18 21:10:00,2024-05-20,1,OPEN,2,189,189,I,203.0,182,20571.98,16800.84,0.96,182,DEACTIVATED
AW3422,CDG - TLL,2024-05-18 19:15:00,2024-05-19 00:05:00,2024-05-19,1,OPEN,2,189,189,L,151.0,179,21390.32,10965.51,0.95,179,DEACTIVATED
AW3289,TLL - CDG,2024-05-18 19:55:00,2024-05-18 22:45:00,2024-05-19,1,OPEN,2,189,192,Q,214.0,177,28348.0,24277.0,0.92,177,DEACTIVATED
AW7664,CDG - OSL,2024-05-18 20:55:00,2024-05-18 22:35:00,2024-05-19,1,OPEN,2,189,189,F,209.0,185,17852.46,11867.21,0.98,185,DEACTIVATED
AW3950,CDG - ZAG,2024-05-18 21:15:00,2024-05-18 23:15:00,2024-05-19,1,OPEN,2,189,189,F,164.0,187,16300.88,10285.99,0.99,187,DEACTIVATED
AW4780,CDG - VIE,2024-05-18 21:15:00,2024-05-18 23:20:00,2024-05-19,1,OPEN,2,189,191,V,118.0,191,16838.39,10715.72,1.0,191,PARTIALLY_ACTIVATED
AW7668,CDG - OSL,2024-05-18 21:25:00,2024-05-18 23:05:00,2024-05-19,1,OPEN,2,189,192,M,169.0,185,16112.99,10131.74,0.96,185,DEACTIVATED
AW7669,OSL - CDG,2024-05-19 06:00:00,2024-05-19 09:30:00,2024-05-21,1,OPEN,2,189,192,B,248.0,190,17565.0,13635.76,0.99,190,DEACTIVATED
AW4781,VIE - CDG,2024-05-19 06:00:00,2024-05-19 08:05:00,2024-05-20,1,OPEN,2,189,190,Q,141.0,189,13323.0,9782.03,0.99,189,PARTIALLY_ACTIVATED
AW7665,OSL - CDG,2024-05-19 06:30:00,2024-05-19 10:00:00,2024-05-21,1,OPEN,2,189,189,B,248.0,187,17759.66,13896.24,0.99,187,DEACTIVATED
AW3951,ZAG - CDG,2024-05-19 06:30:00,2024-05-19 08:45:00,2024-05-20,1,OPEN,2,189,191,K,73.0,178,10711.0,5216.14,0.93,178,DEACTIVATED
AW3423,TLL - CDG,2024-05-19 07:00:00,2024-05-19 09:50:00,2024-05-20,1,OPEN,2,189,192,F,325.0,190,29179.0,24809.0,0.99,190,DEACTIVATED
AW7658,CDG - OSL,2024-05-19 10:20:00,2024-05-19 12:00:00,2024-05-20,1,OPEN,2,189,192,M,169.0,173,19479.78,13926.72,0.9,173,DEACTIVATED
AW3288,CDG - TLL,2024-05-19 10:40:00,2024-05-19 15:25:00,2024-05-20,1,OPEN,2,189,191,Q,210.0,187,27184.56,16328.04,0.98,187,DEACTIVATED
AW4638,CDG - VIE,2024-05-19 11:00:00,2024-05-19 13:05:00,2024-05-20,1,OPEN,2,189,191,M,167.0,184,19332.0,13426.5,0.96,184,PARTIALLY_ACTIVATED
AW7659,OSL - CDG,2024-05-19 12:40:00,2024-05-19 16:10:00,2024-05-21,1,OPEN,2,189,191,K,109.0,192,30851.3,26932.22,1.01,192,DEACTIVATED
AW4639,VIE - CDG,2024-05-19 13:55:00,2024-05-19 16:00:00,2024-05-20,1,OPEN,2,189,190,I,197.0,186,17947.38,14467.49,0.98,186,PARTIALLY_ACTIVATED
AW3556,CDG - HEL,2024-05-19 14:40:00,2024-05-19 19:05:00,2024-05-20,1,CANCELLED,2,189,189,K,149.0,0,0.0,0.0,0.0,0,UNAVAILABLE
AW3558,CDG - HEL,2024-05-19 14:55:00,2024-05-19 19:20:00,2024-05-20,1,OPEN,2,189,190,M,222.0,186,28254.97,22285.69,0.98,186,PARTIALLY_ACTIVATED
AW3916,CDG - ZAG,2024-05-19 15:20:00,2024-05-19 17:20:00,2024-05-20,1,OPEN,2,189,190,I,144.0,178,17683.88,11982.9,0.94,178,DEACTIVATED
AW7928,CDG - CPH,2024-05-19 15:30:00,2024-05-19 16:30:00,2024-05-20,1,OPEN,2,189,189,L,84.0,180,12981.41,7019.68,0.95,180,DEACTIVATED
AW3289,TLL - CDG,2024-05-19 16:25:00,2024-05-19 19:15:00,2024-05-20,1,OPEN,2,189,189,F,325.0,183,32429.0,28220.0,0.97,183,DEACTIVATED
AW7646,CDG - OSL,2024-05-19 16:45:00,2024-05-19 18:25:00,2024-05-20,1,OPEN,2,189,192,H,151.0,175,17354.68,11701.73,0.91,175,DEACTIVATED
AW7929,CPH - CDG,2024-05-19 17:15:00,2024-05-19 20:15:00,2024-05-21,1,OPEN,2,189,189,T,66.0,133,14501.61,9025.44,0.7,133,DEACTIVATED
AW4634,CDG - VIE,2024-05-19 17:55:00,2024-05-19 20:00:00,2024-05-20,1,OPEN,2,189,191,L,91.0,186,20068.0,14118.1,0.97,186,PARTIALLY_ACTIVATED
AW7908,CDG - BER,2024-05-19 18:05:00,2024-05-19 19:05:00,2024-05-20,1,OPEN,2,189,189,X,78.0,143,11963.0,7183.06,0.76,143,DEACTIVATED
AW3917,ZAG - CDG,2024-05-19 18:10:00,2024-05-19 20:25:00,2024-05-20,1,OPEN,2,189,191,I,134.0,157,19111.83,14265.24,0.82,157,DEACTIVATED
AW7647,OSL - CDG,2024-05-19 19:05:00,2024-05-19 22:35:00,2024-05-21,1,OPEN,2,189,191,B,248.0,185,31041.64,27215.97,0.97,185,DEACTIVATED
AW3422,CDG - TLL,2024-05-19 19:15:00,2024-05-20 00:05:00,2024-05-20,1,OPEN,2,189,192,X,136.0,172,20772.72,10720.51,0.9,172,DEACTIVATED
AW7909,BER - CDG,2024-05-19 19:45:00,2024-05-19 22:40:00,2024-05-21,1,OPEN,2,189,192,X,76.0,161,13591.0,11401.46,0.84,161,DEACTIVATED
AW3557,HEL - CDG,2024-05-19 19:50:00,2024-05-19 22:35:00,2024-05-20,1,CANCELLED,2,189,189,Q,181.0,0,0.0,0.0,0.0,0,UNAVAILABLE
AW3559,HEL - CDG,2024-05-19 20:05:00,2024-05-19 22:50:00,2024-05-20,1,OPEN,2,189,189,Y,422.0,189,46920.05,43009.0,1.0,189,PARTIALLY_ACTIVATED
AW4635,VIE - CDG,2024-05-19 20:45:00,2024-05-19 22:50:00,2024-05-20,1,OPEN,2,189,190,J,318.0,185,17874.8,14408.67,0.97,185,PARTIALLY_ACTIVATED
AW7664,CDG - OSL,2024-05-19 20:55:00,2024-05-19 22:35:00,2024-05-20,1,OPEN,2,189,189,Q,135.0,180,14885.39,9061.93,0.95,180,DEACTIVATED
AW3950,CDG - ZAG,2024-05-19 21:15:00,2024-05-19 23:15:00,2024-05-20,1,OPEN,2,189,191,M,128.0,175,16123.0,10528.57,0.92,175,DEACTIVATED
AW7668,CDG - OSL,2024-05-19 21:25:00,2024-05-19 23:05:00,2024-05-20,1,OPEN,2,189,192,Q,135.0,183,16217.39,10305.28,0.95,183,DEACTIVATED
AW4780,CDG - VIE,2024-05-19 21:30:00,2024-05-19 23:35:00,2024-05-20,1,OPEN,2,189,191,M,167.0,188,19840.0,13824.54,0.98,188,PARTIALLY_ACTIVATED
AW7669,OSL - CDG,2024-05-20 05:55:00,2024-05-20 09:25:00,2024-05-22,1,OPEN,2,189,194,D,272.0,193,24312.64,20325.26,0.99,193,DEACTIVATED
AW4781,VIE - CDG,2024-05-20 06:00:00,2024-05-20 08:05:00,2024-05-21,1,OPEN,2,189,190,B,242.0,188,22618.0,19106.29,0.99,188,PARTIALLY_ACTIVATED
AW7665,OSL - CDG,2024-05-20 06:30:00,2024-05-20 10:00:00,2024-05-22,1,OPEN,2,189,190,B,248.0,180,24205.3,20473.06,0.95,180,DEACTIVATED
AW3951,ZAG - CDG,2024-05-20 06:30:00,2024-05-20 08:45:00,2024-05-21,1,OPEN,2,189,189,I,134.0,180,16325.87,10769.27,0.95,180,DEACTIVATED
AW3280,CDG - TLL,2024-05-20 06:30:00,2024-05-20 11:15:00,2024-05-21,1,OPEN,2,189,192,X,136.0,174,21773.18,11648.76,0.91,174,DEACTIVATED
